제품코드,수량,송장 번호
D107,2,a118011610001
A107,5,a118011610001
A103,2,a118011610001
C102,3,a118011710001
E104,3,a118011710001
C107,1,a118011710001
B103,3,a118011710001
B104,1,a118011810001
A104,7,a118011810001
A107,2,a118011810001
A105,1,a118011810001
E103,4,a118012210001
D103,3,a118012210001
D108,2,a118012210001
D104,4,a118012210001
B107,3,a118012310001
D108,6,a118012310001
E103,7,a118012310001
A110,5,a118012310001
E101,3,a118012510001
C103,6,a118012510001
E104,3,a118012510001
D103,2,a118012510001
C101,2,a118012610001
B105,3,a118012610001
C104,3,a118012610001
D102,1,a118012610001
C107,3,a118020110002
D107,1,a118020110002
E104,7,a118020110002
A104,2,a118020110002
A107,5,a118020410002
D105,2,a118020410002
A109,1,a118020410002
C107,4,a118020410002
A110,4,a118020710001
E102,2,a118020710001
E104,1,a118020710001
A105,2,a118020710001
C101,2,a118020810002
D106,3,a118020810002
C108,4,a118020810002
B105,2,a118020810002
B107,2,a118020810003
E102,1,a118020810003
A106,2,a118020810003
A103,3,a118020810003
D105,1,a118020910003
E105,4,a118020910003
E102,2,a118020910003
C104,4,a118020910003
A107,6,a118021010001
D105,3,a118021010001
E105,5,a118021010001
A104,2,a118021010001
B103,5,a118021010003
C102,7,a118021010003
E105,5,a118021010003
A104,4,a118021010003
A109,2,a118021210001
A101,3,a118021210001
D103,4,a118021210001
D101,5,a118021210001
B107,2,a118021210002
E102,7,a118021210002
E101,5,a118021210002
A103,4,a118021210002
C102,3,a118021310001
A105,7,a118021310001
A106,4,a118021310001
C106,5,a118021310001
C107,3,a118021310002
E103,2,a118021310002
C105,5,a118021310002
C108,5,a118021310002
D109,2,a118021410001
D107,8,a118021410001
A107,2,a118021410001
A103,3,a118021410001
C102,4,a118021410003
E104,3,a118021410003
C107,3,a118021410003
B103,7,a118021410003
B104,3,a118021510003
A104,2,a118021510003
A107,1,a118021510003
A105,1,a118021510003
E103,3,a118040210001
D103,3,a118040210001
D108,2,a118040210001
D104,4,a118040210001
A105,4,a118040310001
A102,4,a118040310001
A103,3,a118040310001
B106,2,a118040310001
C104,4,a118040710001
B101,5,a118040710001
A105,7,a118040710001
C102,6,a118040710001
B105,3,a118041010001
A108,2,a118041010001
A110,3,a118041010001
D108,7,a118041010001
A108,1,a118041310001
E102,3,a118041310001
B105,2,a118041310001
A105,2,a118041310001
E102,4,a118042710003
B104,7,a118042710003
A110,5,a118042710003
C103,4,a118042710003
B107,3,a118043010003
D108,9,a118043010003
E103,2,a118043010003
A110,3,a118043010003
E101,1,a118050310001
C103,4,a118050310001
E104,2,a118050310001
D103,1,a118050310001
C101,3,a118050710001
B105,3,a118050710001
C104,5,a118050710001
D102,4,a118050710001
C107,1,a118051910001
D107,2,a118051910001
E104,1,a118051910001
A104,3,a118051910001
A107,5,a118052010001
D105,4,a118052010001
A109,2,a118052010001
C107,3,a118052010001
A110,6,a118052010002
E102,4,a118052010002
E104,2,a118052010002
A105,3,a118052010002
C101,3,a118052110002
D106,4,a118052110002
C108,3,a118052110002
B105,5,a118052110002
B107,4,a118052210001
E102,2,a118052210001
A106,5,a118052210001
A103,2,a118052210001
D105,3,a118052310001
E105,3,a118052310001
E102,1,a118052310001
C104,3,a118052310001
A107,1,a118052510002
D105,7,a118052510002
E105,2,a118052510002
A104,1,a118052510002
B103,4,a118052710001
C102,3,a118052710001
E105,2,a118052710001
A104,4,a118052710001
A109,3,a118052810002
A101,6,a118052810002
D103,7,a118052810002
D101,5,a118052810002
B107,3,a118053010001
E102,6,a118053010001
E101,3,a118053010001
A103,2,a118053010001
C102,2,a118053110001
A105,3,a118053110001
A106,3,a118053110001
C106,1,a118053110001
C107,3,a118053110002
E103,1,a118053110002
C105,7,a118053110002
C108,2,a118053110002
D109,5,a118061310002
D107,2,a118061310002
A107,1,a118061310002
A103,4,a118061310002
C102,4,a118061410002
E104,2,a118061410002
C107,1,a118061410002
B103,2,a118061410002
B104,2,a118061810002
A104,3,a118061810002
A107,4,a118061810002
A105,2,a118061810002
E103,2,a118062110002
D103,1,a118062110002
D108,2,a118062110002
D104,3,a118062110002
B107,1,a118062410002
D108,4,a118062410002
E103,2,a118062410002
A110,4,a118062410002
E101,6,a118071310003
C103,3,a118071310003
E104,5,a118071310003
D103,2,a118071310003
C101,5,a118071610003
B105,7,a118071610003
C104,5,a118071610003
D102,4,a118071610003
C107,2,a118072010003
D107,3,a118072010003
E104,4,a118072010003
A104,5,a118072010003
A107,2,a118072410003
D105,7,a118072410003
A109,5,a118072410003
C107,4,a118072410003
A110,3,a118072510003
E102,7,a118072510003
E104,4,a118072510003
A105,5,a118072510003
C101,3,a118080710003
D106,2,a118080710003
C108,5,a118080710003
B105,5,a118080710003
B107,2,a118080810003
E102,8,a118080810003
A106,2,a118080810003
A103,3,a118080810003
D105,4,a118081210003
E105,3,a118081210003
E102,3,a118081210003
C104,7,a118081210003
A107,3,a118081510003
D105,2,a118081510003
E105,1,a118081510003
A104,1,a118081510003
B103,3,a118082610003
C102,3,a118082610003
E105,2,a118082610003
A104,4,a118082610003
A109,4,a118082710003
A101,4,a118082710003
D103,3,a118082710003
D101,2,a118082710003
B107,4,a118083110003
E102,5,a118083110003
E101,7,a118083110003
A103,6,a118083110003
C102,3,a118090110002
A105,2,a118090110002
A106,3,a118090110002
C106,7,a118090110002
C107,1,a118090310001
E103,3,a118090310001
C105,2,a118090310001
C108,2,a118090310001
D109,4,a118090410002
D107,7,a118090410002
A107,5,a118090410002
A103,4,a118090410002
C102,3,a118090610001
E104,9,a118090610001
C107,2,a118090610001
B103,3,a118090610001
B104,1,a118090810002
A104,4,a118090810002
A107,2,a118090810002
A105,1,a118090810002
E103,3,a118090910002
D103,3,a118090910002
D108,5,a118090910002
D104,4,a118090910002
A105,1,a118091010002
A102,2,a118091010002
A103,1,a118091010002
B106,3,a118091010002
C104,5,a118100110002
B101,4,a118100110002
A105,2,a118100110002
C102,3,a118100110002
B105,6,a118100210002
A108,4,a118100210002
A110,2,a118100210002
D108,3,a118100210002
A108,3,a118100410002
E102,4,a118100410002
B105,3,a118100410002
A105,5,a118100410002
E102,4,a118100510002
B104,2,a118100510002
A110,5,a118100510002
C103,2,a118100510002
B107,3,a118102310001
D108,3,a118102310001
E103,1,a118102310001
A110,3,a118102310001
E101,1,a118102510001
C103,7,a118102510001
E104,2,a118102510001
D103,1,a118102510001
C101,4,a118102610001
B105,3,a118102610001
C104,2,a118102610001
D102,4,a118102610001
C107,3,a118102710001
D107,6,a118102710001
E104,7,a118102710001
A104,5,a118102710001
A107,3,a118110210003
D105,6,a118110210003
A109,3,a118110210003
C107,2,a118110210003
A110,2,a118110310003
E102,3,a118110310003
E104,3,a118110310003
A105,1,a118110310003
C101,3,a118110410003
D106,1,a118110410003
C108,7,a118110410003
B105,2,a118110410003
B107,5,a118112310002
E102,2,a118112310002
A106,1,a118112310002
A103,4,a118112310002
D105,4,a118112410002
E105,2,a118112410002
E102,1,a118112410002
C104,2,a118112410002
A107,2,a118112810002
D105,3,a118112810002
E105,4,a118112810002
A104,2,a118112810002
B103,2,a118121010003
C102,1,a118121010003
E105,2,a118121010003
A104,3,a118121010003
A109,1,a118121410003
A101,4,a118121410003
D103,2,a118121410003
D101,4,a118121410003
B107,6,a118121810003
E102,3,a118121810003
E101,5,a118121810003
A103,2,a118121810003
C102,5,a118121910003
A105,7,a118121910003
A106,5,a118121910003
C106,4,a118121910003
C107,2,a118122010002
E103,3,a118122010002
C105,4,a118122010002
C108,5,a118122010002
D109,2,a118122010003
D107,7,a118122010003
A107,5,a118122010003
A103,4,a118122010003
C102,3,a118122210003
E104,7,a118122210003
C107,4,a118122210003
B103,5,a118122210003
B104,3,a118122410002
A104,2,a118122410002
A107,5,a118122410002
A105,5,a118122410002
E103,2,a118122810002
D103,8,a118122810002
D108,2,a118122810002
D104,3,a118122810002
B107,4,a118122910002
D108,3,a118122910002
E103,3,a118122910002
A110,7,a118122910002
E101,3,a119011310001
C103,2,a119011310001
E104,1,a119011310001
D103,1,a119011310001
C101,3,a119011610001
B105,3,a119011610001
C104,2,a119011610001
D102,4,a119011610001
C107,4,a119011910001
D107,4,a119011910001
E104,3,a119011910001
A104,2,a119011910001
A107,4,a119020610002
D105,5,a119020610002
A109,7,a119020610002
C107,6,a119020610002
A110,3,a119021010002
E102,2,a119021010002
E104,3,a119021010002
A105,7,a119021010002
C101,1,a119021310002
D106,3,a119021310002
C108,2,a119021310002
B105,2,a119021310002
B107,4,a119021610002
E102,7,a119021610002
A106,5,a119021610002
A103,4,a119021610002
D105,3,a119022010002
E105,9,a119022010002
E102,2,a119022010002
C104,3,a119022010002
A107,1,a119030110003
D105,4,a119030110003
E105,2,a119030110003
A104,1,a119030110003
B103,3,a119030410003
C102,3,a119030410003
E105,5,a119030410003
A104,4,a119030410003
A109,1,a119030610002
A101,2,a119030610002
D103,1,a119030610002
D101,3,a119030610002
B107,5,a119030810003
E102,4,a119030810003
E101,2,a119030810003
A103,3,a119030810003
C102,6,a119031010002
A105,4,a119031010002
A106,2,a119031010002
C106,3,a119031010002
C107,3,a119031310002
E103,4,a119031310002
C105,3,a119031310002
C108,5,a119031310002
D109,4,a119031510002
D107,2,a119031510002
A107,5,a119031510002
A103,2,a119031510002
C102,3,a119031610002
E104,3,a119031610002
C107,1,a119031610002
B103,3,a119031610002
B104,1,a119032910002
A104,7,a119032910002
A107,2,a119032910002
A105,1,a119032910002
E103,4,a119032910003
D103,3,a119032910003
D108,2,a119032910003
D104,4,a119032910003
A105,3,a119040110001
A102,6,a119040110001
A103,7,a119040110001
B106,5,a119040110001
C104,3,a119040510001
B101,6,a119040510001
A105,3,a119040510001
C102,2,a119040510001
B105,2,a119040610001
A108,3,a119040610001
A110,3,a119040610001
D108,1,a119040610001
A108,3,a119040710001
E102,1,a119040710001
B105,7,a119040710001
A105,2,a119040710001
E102,1,a119041210001
B104,4,a119041210001
A110,3,a119041210001
C103,2,a119041210001
B107,4,a119042410003
D108,3,a119042410003
E103,6,a119042410003
A110,7,a119042410003
E101,2,a119042710003
C103,3,a119042710003
E104,3,a119042710003
D103,1,a119042710003
C101,3,a119050110001
B105,1,a119050110001
C104,7,a119050110001
D102,2,a119050110001
C107,1,a119050510001
D107,4,a119050510001
E104,3,a119050510001
A104,2,a119050510001
A107,4,a119050610001
D105,3,a119050610001
A109,6,a119050610001
C107,7,a119050610001
A110,5,a119050710001
E102,2,a119050710001
E104,1,a119050710001
A105,4,a119050710001
C101,4,a217010110003
D106,2,a217010110003
C108,1,a217010110003
B105,2,a217010110003
B107,2,a217010210003
E102,3,a217010210003
A106,4,a217010210003
A103,2,a217010210003
D105,2,a217010510002
E105,1,a217010510002
E102,2,a217010510002
C104,3,a217010510002
A107,1,a217010610002
D105,4,a217010610002
E105,2,a217010610002
A104,4,a217010610002
B103,6,a217010710002
C102,3,a217010710002
E105,5,a217010710002
A104,2,a217010710002
A109,5,a217011610002
A101,7,a217011610002
D103,5,a217011610002
D101,4,a217011610002
B107,2,a217012010002
E102,3,a217012010002
E101,4,a217012010002
A103,5,a217012010002
C102,2,a217012710001
A105,7,a217012710001
A106,5,a217012710001
C106,4,a217012710001
C107,3,a217012710002
E103,7,a217012710002
C105,4,a217012710002
C108,5,a217012710002
D109,3,a217020710003
D107,2,a217020710003
A107,5,a217020710003
A103,5,a217020710003
C102,2,a217020810003
E104,8,a217020810003
C107,2,a217020810003
B103,3,a217020810003
B104,4,a217020910003
A104,3,a217020910003
A107,3,a217020910003
A105,7,a217020910003
E103,3,a217021410003
D103,2,a217021410003
D108,1,a217021410003
D104,1,a217021410003
B107,3,a217021910003
D108,3,a217021910003
E103,2,a217021910003
A110,4,a217021910003
E101,4,a217022110003
C103,4,a217022110003
E104,3,a217022110003
D103,2,a217022110003
C101,4,a217022210003
B105,5,a217022210003
C104,7,a217022210003
D102,6,a217022210003
C107,3,a217030110001
D107,2,a217030110001
E104,3,a217030110001
A104,7,a217030110001
A107,1,a217030410001
D105,3,a217030410001
A109,2,a217030410001
C107,2,a217030410001
A110,4,a217031110001
E102,7,a217031110001
E104,5,a217031110001
A105,4,a217031110001
C101,3,a217040210003
D106,9,a217040210003
C108,2,a217040210003
B105,3,a217040210003
B107,1,a217040710003
E102,4,a217040710003
A106,2,a217040710003
A103,1,a217040710003
D105,3,a217040810003
E105,3,a217040810003
E102,5,a217040810003
C104,4,a217040810003
A107,1,a217040910003
D105,2,a217040910003
E105,1,a217040910003
A104,3,a217040910003
B103,5,a217042010003
C102,4,a217042010003
E105,2,a217042010003
A104,3,a217042010003
A109,6,a217042310003
A101,4,a217042310003
D103,2,a217042310003
D101,3,a217042310003
B107,3,a217042510002
E102,4,a217042510002
E101,3,a217042510002
A103,5,a217042510002
C102,4,a217042510003
A105,2,a217042510003
A106,5,a217042510003
C106,2,a217042510003
C107,3,a217042710002
E103,3,a217042710002
C105,1,a217042710002
C108,3,a217042710002
D109,1,a217052310003
D107,7,a217052310003
A107,2,a217052310003
A103,1,a217052310003
C102,4,a217053010003
E104,3,a217053010003
C107,2,a217053010003
B103,4,a217053010003
B104,3,a217053110003
A104,6,a217053110003
A107,7,a217053110003
A105,5,a217053110003
E103,3,a217060110001
D103,6,a217060110001
D108,3,a217060110001
D104,2,a217060110001
A105,2,a217060110002
A102,3,a217060110002
A103,3,a217060110002
B106,1,a217060110002
C104,3,a217060510001
B101,1,a217060510001
A105,7,a217060510001
C102,2,a217060510001
B105,5,a217060810002
A108,2,a217060810002
A110,1,a217060810002
D108,4,a217060810002
A108,4,a217061210002
E102,2,a217061210002
B105,1,a217061210002
A105,2,a217061210002
E102,2,a217061710002
B104,3,a217061710002
A110,4,a217061710002
C103,2,a217061710002
B107,2,a217062210002
D108,1,a217062210002
E103,2,a217062210002
A110,3,a217062210002
E101,1,a217062410003
C103,4,a217062410003
E104,2,a217062410003
D103,4,a217062410003
C101,6,a217063010001
B105,3,a217063010001
C104,5,a217063010001
D102,2,a217063010001
C107,5,a217063010003
D107,7,a217063010003
E104,5,a217063010003
A104,4,a217063010003
A107,2,a217070310001
D105,3,a217070310001
A109,4,a217070310001
C107,5,a217070310001
A110,2,a217070510001
E102,7,a217070510001
E104,5,a217070510001
A105,4,a217070510001
C101,3,a217070610001
D106,7,a217070610001
C108,4,a217070610001
B105,5,a217070610001
B107,3,a217071210001
E102,2,a217071210001
A106,5,a217071210001
A103,5,a217071210001
D105,2,a217071310001
E105,8,a217071310001
E102,2,a217071310001
C104,3,a217071310001
A107,4,a217071710001
D105,3,a217071710001
E105,3,a217071710001
A104,7,a217071710001
B103,3,a217071810001
C102,2,a217071810001
E105,1,a217071810001
A104,1,a217071810001
A109,3,a217072610001
A101,3,a217072610001
D103,2,a217072610001
D101,4,a217072610001
B107,4,a217080110002
E102,4,a217080110002
E101,3,a217080110002
A103,2,a217080110002
C102,4,a217080510002
A105,5,a217080510002
A106,7,a217080510002
C106,6,a217080510002
C107,3,a217080910002
E103,2,a217080910002
C105,3,a217080910002
C108,7,a217080910002
D109,1,a217081010002
D107,3,a217081010002
A107,2,a217081010002
A103,2,a217081010002
C102,4,a217081110002
E104,7,a217081110002
C107,5,a217081110002
B103,4,a217081110002
B104,3,a217081210002
A104,9,a217081210002
A107,2,a217081210002
A105,3,a217081210002
E103,1,a217082110001
D103,4,a217082110001
D108,2,a217082110001
D104,1,a217082110001
B107,3,a217082210001
D108,3,a217082210001
E103,5,a217082210001
A110,4,a217082210001
E101,1,a217082610001
C103,2,a217082610001
E104,1,a217082610001
D103,3,a217082610001
C101,5,a217082910001
B105,4,a217082910001
C104,2,a217082910001
D102,3,a217082910001
C107,6,a217090310003
D107,4,a217090310003
E104,2,a217090310003
A104,3,a217090310003
A107,3,a217090410003
D105,4,a217090410003
A109,3,a217090410003
C107,5,a217090410003
A110,4,a217090510003
E102,2,a217090510003
E104,5,a217090510003
A105,2,a217090510003
C101,3,a217091010003
D106,3,a217091010003
C108,1,a217091010003
B105,3,a217091010003
B107,1,a217091910002
E102,7,a217091910002
A106,2,a217091910002
A103,1,a217091910002
D105,4,a217092310002
E105,3,a217092310002
E102,2,a217092310002
C104,4,a217092310002
A107,3,a217092410002
D105,6,a217092410002
E105,7,a217092410002
A104,5,a217092410002
B103,3,a217092510002
C102,6,a217092510002
E105,3,a217092510002
A104,2,a217092510002
A109,2,a217092910002
A101,3,a217092910002
D103,3,a217092910002
D101,1,a217092910002
B107,3,a217100410003
E102,1,a217100410003
E101,7,a217100410003
A103,2,a217100410003
C102,5,a217100710003
A105,2,a217100710003
A106,1,a217100710003
C106,4,a217100710003
C107,4,a217101110003
E103,2,a217101110003
C105,1,a217101110003
C108,2,a217101110003
D109,2,a217101310002
D107,3,a217101310002
A107,4,a217101310002
A103,2,a217101310002
C102,2,a217101510003
E104,1,a217101510003
C107,2,a217101510003
B103,3,a217101510003
B104,1,a217101610002
A104,4,a217101610002
A107,2,a217101610002
A105,4,a217101610002
E103,6,a217101610003
D103,3,a217101610003
D108,5,a217101610003
D104,2,a217101610003
A105,5,a217101710003
A102,7,a217101710003
A103,5,a217101710003
B106,4,a217101710003
C104,2,a217101810002
B101,3,a217101810002
A105,4,a217101810002
C102,5,a217101810002
B105,2,a217102110003
A108,7,a217102110003
A110,5,a217102110003
D108,4,a217102110003
A108,3,a217110810001
E102,7,a217110810001
B105,4,a217110810001
A105,5,a217110810001
E102,3,a217110910001
B104,2,a217110910001
A110,5,a217110910001
C103,5,a217110910001
B107,2,a217111010001
D108,8,a217111010001
E103,2,a217111010001
A110,3,a217111010001
E101,4,a217111510001
C103,3,a217111510001
E104,3,a217111510001
D103,7,a217111510001
C101,3,a217111910001
B105,2,a217111910001
C104,1,a217111910001
D102,1,a217111910001
C107,3,a217112010001
D107,3,a217112010001
E104,2,a217112010001
A104,4,a217112010001
A107,4,a217112110001
D105,4,a217112110001
A109,3,a217112110001
C107,2,a217112110001
A110,4,a217112610001
E102,5,a217112610001
E104,7,a217112610001
A105,6,a217112610001
C101,3,a217112910001
D106,2,a217112910001
C108,3,a217112910001
B105,7,a217112910001
B107,1,a217120410001
E102,3,a217120410001
A106,2,a217120410001
A103,2,a217120410001
D105,4,a217120810001
E105,7,a217120810001
E102,5,a217120810001
C104,4,a217120810001
A107,3,a217120910001
D105,9,a217120910001
E105,2,a217120910001
A104,3,a217120910001
B103,1,a217121010001
C102,4,a217121010001
E105,2,a217121010001
A104,1,a217121010001
A109,3,a217121410001
A101,3,a217121410001
D103,5,a217121410001
D101,4,a217121410001
B107,1,a217121810001
E102,2,a217121810001
E101,1,a217121810001
A103,3,a217121810001
C102,5,a217121910001
A105,4,a217121910001
A106,2,a217121910001
C106,3,a217121910001
C107,6,a217122010001
E103,4,a217122010001
C105,2,a217122010001
C108,3,a217122010001
D109,3,a217122510001
D107,4,a217122510001
A107,3,a217122510001
A103,5,a217122510001
C102,4,a218010210002
E104,2,a218010210002
C107,5,a218010210002
B103,2,a218010210002
B104,3,a218010510002
A104,3,a218010510002
A107,1,a218010510002
A105,5,a218010510002
E103,2,a218010910002
D103,1,a218010910002
D108,4,a218010910002
D104,4,a218010910002
B107,2,a218011310002
D108,1,a218011310002
E103,2,a218011310002
A110,2,a218011310002
E101,3,a218011410002
C103,4,a218011410002
E104,2,a218011410002
D103,2,a218011410002
C101,1,a218011510002
B105,2,a218011510002
C104,3,a218011510002
D102,1,a218011510002
C107,4,a218011910002
D107,2,a218011910002
E104,4,a218011910002
A104,6,a218011910002
A107,3,a218013010001
D105,5,a218013010001
A109,2,a218013010001
C107,5,a218013010001
A110,7,a218020110003
E102,5,a218020110003
E104,4,a218020110003
A105,2,a218020110003
C101,3,a218020410003
D106,4,a218020410003
C108,5,a218020410003
B105,2,a218020410003
B107,7,a218021410002
E102,5,a218021410002
A106,4,a218021410002
A103,3,a218021410002
D105,7,a218021710003
E105,4,a218021710003
E102,5,a218021710003
C104,3,a218021710003
A107,2,a218021810001
D105,5,a218021810001
E105,5,a218021810001
A104,2,a218021810001
B103,8,a218021810002
C102,2,a218021810002
E105,3,a218021810002
A104,4,a218021810002
A109,3,a218021910001
A101,3,a218021910001
D103,7,a218021910001
D101,3,a218021910001
B107,2,a218022110001
E102,1,a218022110001
E101,1,a218022110001
A103,3,a218022110001
C102,3,a218022110003
A105,2,a218022110003
A106,4,a218022110003
C106,4,a218022110003
C107,4,a218022210001
E103,3,a218022210001
C105,2,a218022210001
C108,4,a218022210001
D109,5,a218022210002
D107,7,a218022210002
A107,6,a218022210002
A103,3,a218022210002
C102,2,a218022310002
E104,3,a218022310002
C107,7,a218022310002
B103,1,a218022310002
B104,3,a218022410002
A104,2,a218022410002
A107,2,a218022410002
A105,4,a218022410002
E103,7,a218022410003
D103,5,a218022410003
D108,4,a218022410003
D104,3,a218022410003
A105,9,a218022510003
A102,2,a218022510003
A103,3,a218022510003
B106,1,a218022510003
C104,4,a218022610001
B101,2,a218022610001
A105,1,a218022610001
C102,3,a218022610001
B105,3,a218022610003
A108,5,a218022610003
A110,4,a218022610003
D108,1,a218022610003
A108,2,a218030410001
E102,1,a218030410001
B105,3,a218030410001
A105,5,a218030410001
E102,4,a218030710001
B104,2,a218030710001
A110,3,a218030710001
C103,6,a218030710001
B107,4,a218030810001
D108,2,a218030810001
E103,3,a218030810001
A110,3,a218030810001
E101,4,a218031210001
C103,3,a218031210001
E104,5,a218031210001
D103,4,a218031210001
C101,2,a218040110002
B105,5,a218040110002
C104,2,a218040110002
D102,3,a218040110002
C107,3,a218040410002
D107,1,a218040410002
E104,3,a218040410002
A104,1,a218040410002
A107,7,a218040810002
D105,2,a218040810002
A109,1,a218040810002
C107,4,a218040810002
A110,3,a218041710001
E102,2,a218041710001
E104,4,a218041710001
A105,3,a218041710001
C101,6,a218042110001
D106,7,a218042110001
